sample,lang,fips,state,cregion,eminuse,intmob,smart1,pial2,pial3,SmartPhone,employ,par,sex,age,educ2,hisp,race,inc,income,party,iphoneuse,hphoneuse
Landline,English,"WASHINGTON, AR",Arkansas,South,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Employed full-time,No,Female,55,Two year associate degree from a college or university,No,White,"$20,000 to under $30,000",Under $30K,Democrat,Dual,Dual HH
Landline,English,"VERMILION, IL",Illinois,Midwest,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Female,52,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$150,000 or over",$75K+,Republican,Dual,Dual HH
Landline,English,"FRANKLIN, OH",Ohio,Midwest,Yes,No,"No, not a smartphone","No, did not use internet/email yesterday",,"Cell, not a smartphone",Employed full-time,No,Male,61,Two year associate degree from a college or university,No,White,"$75,000 to under $100,000",$75K+,Republican,Dual,Dual HH
Landline,English,"WEBER, UT",Utah,West,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Male,64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000",$50K-LT $75K,Independent,Dual,Dual HH
Landline,English,"MORGAN, CO",Colorado,West,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,Yes,Male,65,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000",$30K-LT $50K,Independent,Dual,Dual HH
Landline,English,"CONEJOS, CO",Colorado,West,Yes,No,,"No, did not use internet/email yesterday",,No cell,Employed full-time,No,Male,32,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Yes,White,"$100,000 to under $150,000",$75K+,No preference (VOL.),llo,Dual HH
Landline,English,"FAIRFAX, VA",Virginia,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Female,56,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,Don't know/Refused (VOL.),$75K+,Independent,Dual,Dual HH
Landline,English,"FRANKLIN, ID",Idaho,West,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Employed full-time,No,Female,52,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000",$50K-LT $75K,Independent,Dual,Dual HH
Landline,English,"ADAMS, CO",Colorado,West,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed part-time,No,Female,60,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$40,000 to under $50,000",$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"JACKSON, IN",Indiana,Midwest,No,No,,,,No cell,Not employed,No,Female,65,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$20,000 to under $30,000",Under $30K,Other party (VOL.),llo,Dual HH
